Empresa;Turno;Día de la semana;Experiencia del conductor;Formación del Paramédico;Nivel del Paramédico;Cantidad de atenciones;Distancia recorrida (Km);Velocidad máxima (Km/h);Consumo de combustible (Galones);Tiempo en Movimiento (h);Tiempo motor ON (h)
TAE;D;1;Principiante;4;B;5;50;85;2.2;2.5;4.25
TAC;N;3;Intermedio;4;I;8;78;93;3.1;3;3.9
TAE;N;1;Principiante;3;B;6;64.8;84;3;2.7;4.05
TAP;D;4;Principiante;4;I;7;70.2;84;2.7;2.7;4.32
TAE;N;3;Experto;2;B;6;61.6;101;2.6;2.8;4.2
TAC;N;2;Principiante;1;I;8;78.4;79;3.4;2.8;4.48
TAC;D;2;Principiante;3;I;7;70;88;2.7;2.8;3.08
TAC;N;7;Intermedio;1;B;6;63.8;90;2.3;2.9;4.35
TAB;D;7;Principiante;4;I;8;80.6;86;3.8;3.1;5.58
TAC;D;6;Intermedio;1;I;8;76.8;92;3.7;3.2;4.48
TAD;N;7;Intermedio;4;B;6;63;90;2.8;3;5.1
TAB;D;7;Principiante;4;I;8;75.6;88;3;2.8;3.92
TAD;N;1;Intermedio;3;I;8;75.4;92;3.3;2.6;4.42
TAC;N;5;Principiante;4;I;8;78.3;88;2.8;2.7;2.97
TAB;D;4;Principiante;2;I;7;71.3;86;2.5;3.1;3.41
TAC;N;4;Intermedio;3;I;8;80;97;3.8;3.2;4.48
TAD;D;2;Intermedio;3;B;6;56.7;91;2.1;2.7;2.97
TAC;D;6;Principiante;2;I;7;68.2;84;3.3;3.1;3.41
TAC;N;7;Intermedio;3;B;7;67.2;93;3.5;3.2;5.44
TAB;D;6;Intermedio;4;B;7;66.7;94;2.9;2.9;4.06
TAB;D;7;Intermedio;1;I;8;75.6;91;3.2;2.7;3.51
TAE;N;5;Intermedio;1;B;7;67.6;93;3.3;2.6;3.9
TAP;N;6;Intermedio;1;B;6;64.8;94;3;2.4;3.36
TAB;N;3;Principiante;2;I;7;72.8;83;2.9;2.8;3.36
TAD;D;5;Intermedio;3;B;6;57.6;89;2.1;2.4;3.6
TAE;N;1;Principiante;2;I;9;89.6;86;3.4;3.2;3.52
TAE;N;2;Intermedio;4;B;7;72.5;96;2.6;2.9;3.48
TAC;D;7;Intermedio;4;B;6;64.4;91;2.9;2.8;3.36
TAP;N;4;Intermedio;2;B;7;71.4;91;3.2;3.4;4.76
TAC;N;5;Principiante;3;B;6;65;81;2.7;2.5;2.75
TAC;D;4;Principiante;4;I;8;77.5;83;3.3;3.1;4.34
TAC;D;5;Intermedio;1;B;7;65.1;94;3.1;3.1;5.27
TAP;N;2;Principiante;2;B;6;62.5;88;2;2.5;3.5
TAD;D;5;Principiante;3;I;8;78;83;3.4;3;3.3
TAD;D;1;Principiante;1;I;9;92.8;86;3.5;3.2;4.16
TAP;N;2;Principiante;1;B;6;56;88;2.3;2.8;4.2
TAP;N;1;Intermedio;4;I;7;70.2;96;2.5;2.6;3.64
TAD;D;5;Principiante;4;B;5;50.4;89;2;2.4;3.84
TAP;N;6;Principiante;3;I;8;75.6;86;3.4;3.6;6.12
TAP;D;7;Principiante;2;I;8;77.5;88;3.9;3.1;4.34
TAP;N;7;Principiante;3;I;7;66;87;3.1;3;3.6
TAE;N;4;Experto;3;B;7;66.7;100;2.9;2.9;3.77
TAP;D;6;Principiante;1;B;6;63;86;2.5;3;4.2
TAE;D;2;Intermedio;1;B;7;72.5;94;3;2.5;3.5
TAE;N;2;Principiante;1;I;8;75.4;87;2.9;2.9;3.48
TAB;D;7;Intermedio;4;B;5;52.5;91;2.1;2.5;3
TAC;D;1;Experto;1;B;6;57.2;99;2.4;2.6;4.42
TAP;N;7;Intermedio;4;A;9;89.1;90;4.3;3.3;5.28
TAC;N;5;Intermedio;1;I;8;75;93;3.5;3;4.8
TAD;N;3;Intermedio;4;I;8;78.3;91;3.6;2.7;4.59
TAB;N;3;Principiante;2;I;8;78;88;3.2;3;3.6
TAC;D;5;Experto;4;B;7;67.2;100;2.9;2.8;4.48
TAC;N;4;Intermedio;1;B;6;62.5;91;2.8;2.5;4.25
TAD;D;4;Principiante;2;A;9;87;88;4.3;3;4.5
TAP;N;6;Intermedio;1;I;7;72.9;90;2.6;2.7;4.32
TAC;N;6;Intermedio;1;B;7;73.6;95;3.4;3.2;5.44
TAC;N;1;Principiante;3;B;6;60;82;2.6;2.5;3.5
TAP;N;6;Intermedio;4;B;6;62.5;93;2.3;2.5;3.25
TAE;D;5;Principiante;4;I;7;70.2;89;2.7;2.7;3.24
TAC;D;6;Principiante;2;I;7;74.4;89;3.2;3.1;4.34
TAB;D;5;Principiante;3;I;7;72.5;88;3.1;2.5;3.25
TAD;N;5;Intermedio;4;B;7;71.3;92;2.7;3.1;4.34
TAP;D;5;Intermedio;2;B;5;50.4;92;2;2.4;3.36
TAC;D;1;Intermedio;2;B;5;54.6;89;2.5;2.6;3.9
TAC;D;2;Principiante;4;I;7;69.6;84;2.9;2.9;3.48
TAP;N;5;Principiante;2;B;6;61.6;85;2.4;2.8;5.04
TAB;D;2;Intermedio;1;I;8;77.5;92;3.2;3.1;4.03
TAB;D;4;Intermedio;1;B;6;61.6;89;2.2;2.2;3.08
TAD;N;1;Intermedio;3;B;6;64.8;96;3.1;2.7;4.59
TAP;N;4;Intermedio;3;B;6;59.4;90;2.8;2.7;3.78
TAP;N;4;Principiante;3;I;8;81.2;86;3.3;2.8;3.92
TAC;D;2;Intermedio;3;I;7;70.2;90;3.1;2.7;3.24
TAD;D;1;Principiante;2;B;6;57.2;83;2.8;2.6;3.12
TAB;N;7;Principiante;3;B;5;50;88;2.2;2.5;3
TAC;D;1;Intermedio;2;I;8;81.2;96;3.7;2.9;3.48
TAD;D;3;Principiante;1;B;6;63;88;2.8;3;3.6
TAC;N;1;Experto;1;B;6;59.8;100;2.8;2.6;4.68
TAD;D;5;Intermedio;1;I;8;78.3;93;3.2;2.9;3.19
TAP;D;7;Intermedio;1;B;6;56;91;2.5;2.8;4.2
TAD;D;1;Intermedio;2;B;7;67.2;97;3;2.8;3.36
TAE;D;6;Intermedio;1;B;6;56;90;2.1;2.8;5.04
TAB;D;3;Experto;3;B;7;66.7;102;2.5;2.9;4.93
TAP;N;3;Principiante;2;B;6;55;87;2.1;2.5;4.25
TAB;D;3;Intermedio;3;B;7;68.2;96;3;3.1;4.34
TAD;D;3;Principiante;3;I;8;78;83;3.3;3;5.1
TAE;N;1;Principiante;4;I;8;81.2;84;3.1;2.8;3.64
TAC;D;1;Principiante;1;I;7;69.3;88;3;3.3;5.61
TAB;D;1;Intermedio;4;B;5;48;98;1.8;2.4;2.64
TAB;D;2;Principiante;3;I;7;69;80;2.8;3;4.8
TAP;D;2;Principiante;1;A;9;92.8;86;3.2;3.2;3.52
TAB;D;1;Principiante;2;B;5;52.9;85;2.3;2.3;2.99
TAB;D;3;Intermedio;3;B;6;61.6;92;2.8;2.8;3.92
TAC;D;2;Intermedio;2;I;8;75.6;96;2.3;2.8;3.64
TAB;D;2;Principiante;1;I;8;82.5;88;3.5;3.3;4.62
TAB;D;6;Principiante;3;I;8;78.4;85;3.6;2.8;3.64
TAD;D;5;Intermedio;2;B;6;55.2;95;2.4;2.4;4.08
TAE;N;7;Intermedio;3;B;7;74.4;92;3.5;3.1;5.58
TAP;N;6;Principiante;4;B;6;60.9;87;2.9;2.9;4.35
TAB;N;1;Intermedio;2;I;9;89.1;91;3.5;3.3;4.62
TAP;D;7;Intermedio;1;B;7;67.2;93;3;3.2;5.12
TAC;N;5;Intermedio;3;I;8;75.6;92;3.5;2.8;4.2
TAP;D;6;Intermedio;3;A;9;89.9;90;3.4;3.1;3.72
TAC;D;1;Experto;3;B;6;60;100;2.2;3;5.4
TAB;N;3;Intermedio;2;B;5;52;93;2.4;2.6;3.9
TAB;D;1;Principiante;4;B;6;56;87;2.2;2.8;4.48
TAB;D;1;Intermedio;3;B;7;70;94;2.7;2.8;3.64
TAE;D;1;Principiante;1;B;6;63;87;2.8;3;5.1
TAC;N;5;Principiante;2;A;10;95.2;84;3.8;3.4;4.42
TAB;D;3;Intermedio;1;B;6;62.5;95;2.7;2.5;3
TAC;D;5;Principiante;3;I;8;78.3;85;3.6;2.9;4.35
TAC;N;2;Intermedio;1;B;5;48;95;1.8;2.4;2.88
TAD;D;4;Principiante;4;B;6;58.8;86;2.2;2.8;3.64
TAE;N;7;Principiante;1;I;8;76.8;88;3.1;3.2;4.16
TAC;D;1;Principiante;4;I;7;70.2;87;3.2;2.6;3.64
TAC;D;3;Intermedio;1;B;5;46;97;1.8;2.3;3.22
TAD;N;4;Intermedio;1;B;6;60.9;91;2.3;2.9;5.22
TAB;D;1;Principiante;3;B;6;64.8;85;2.6;2.7;3.24
TAC;D;7;Principiante;4;B;5;52.8;87;2.5;2.4;3.12
TAE;D;5;Intermedio;3;B;7;70;93;3;2.8;3.64
TAC;N;5;Intermedio;4;B;7;72.8;92;2.5;2.6;4.42
TAD;D;4;Intermedio;2;B;6;56;97;2.1;2.8;3.92
TAB;D;4;Intermedio;4;I;8;75.6;93;3.3;2.7;3.24
TAP;N;6;Intermedio;2;B;7;66;94;2.5;3;3.6
TAC;D;5;Intermedio;3;B;6;62.5;97;2.8;2.5;3.75
TAE;D;2;Intermedio;1;I;7;70;90;3.1;2.5;3.5
TAD;D;4;Intermedio;4;B;7;70;97;3.6;2.5;3.25
TAE;N;6;Principiante;3;I;9;89.9;87;3.7;3.1;4.34
TAB;N;3;Intermedio;2;B;7;66.7;91;2.7;2.9;4.06
TAB;D;2;Intermedio;4;B;6;62;94;2;3.1;4.34
TAP;N;2;Principiante;2;I;8;84;81;3.4;3;5.1
TAD;D;1;Principiante;4;I;7;67.2;89;2.2;2.4;4.32
TAC;N;5;Intermedio;4;B;6;63.8;92;2.5;2.9;4.06
TAB;N;7;Experto;3;I;8;78.3;104;3.1;2.7;4.32
TAP;N;4;Principiante;4;I;7;69.3;84;3;3.3;3.96
TAC;N;5;Intermedio;4;B;5;50.4;93;2.4;2.4;3.12
TAC;N;6;Intermedio;2;I;8;84;93;4.1;3;5.4
TAE;D;5;Principiante;1;I;8;80;86;3.5;3.2;5.76
TAB;D;4;Intermedio;2;B;6;56.7;95;2.1;2.7;4.86
TAE;N;4;Principiante;4;I;7;70.2;81;2.9;2.7;4.86
TAP;D;3;Principiante;3;B;5;52;85;2;2;3
TAB;N;6;Principiante;1;B;6;65;88;2.5;2.6;3.9
TAB;N;2;Principiante;2;I;7;72.5;87;2.8;2.9;5.22
TAP;D;5;Principiante;3;I;7;69.6;83;2.5;2.9;5.22
TAP;D;4;Principiante;4;I;7;67.5;86;2.8;2.5;3.25
TAE;N;7;Intermedio;2;B;6;61.6;97;2.4;2.8;3.92
TAC;N;6;Principiante;3;B;5;52.8;85;2.1;2.4;3.36
TAB;D;3;Intermedio;4;I;8;78;91;3.5;3;5.4
TAC;D;6;Intermedio;1;I;7;69;90;3.3;3;4.8
TAB;N;3;Intermedio;3;B;5;54.6;92;2.9;2.6;4.68
TAE;D;2;Intermedio;3;I;8;78.2;90;3;3.4;6.12
TAP;D;5;Intermedio;3;I;9;92.8;90;3.4;3.2;5.76
TAD;N;1;Principiante;4;B;6;59.8;80;2.3;2.6;3.64
TAE;N;3;Intermedio;2;B;6;59.4;92;2.8;2.7;4.86
TAC;N;2;Intermedio;4;I;7;72.9;96;2.7;2.7;4.05
TAE;N;4;Principiante;1;B;6;63;86;2.7;3;3.3
TAC;N;2;Intermedio;3;I;8;84.1;93;3.6;2.9;4.35
TAB;N;3;Intermedio;3;I;8;80;90;3.2;3.2;3.52
TAB;D;7;Intermedio;3;A;9;92.4;94;3.9;3.3;5.28
TAC;N;1;Principiante;2;I;8;78.3;87;2.8;2.9;4.35
TAC;N;4;Intermedio;3;B;7;72.5;94;3.4;2.9;4.06
TAB;D;2;Principiante;3;I;7;70;83;2.8;2.5;3.5
TAC;N;5;Principiante;4;B;6;56.7;87;2.2;2.7;2.97
TAD;D;6;Principiante;2;I;9;87;82;3.3;3;3.9
TAD;N;2;Intermedio;1;B;6;59.4;92;2.3;2.2;3.96
TAE;D;6;Principiante;3;B;6;60.9;88;2.5;2.9;4.35
TAE;N;7;Intermedio;2;I;7;67.2;96;3;3.2;4.16
TAP;N;2;Principiante;4;B;6;63;88;2.6;3;5.4
TAD;D;4;Intermedio;3;B;6;60;95;2.5;2.4;3.12
TAB;D;1;Intermedio;3;A;9;89.6;92;3.6;3.2;5.76
TAC;D;6;Principiante;1;I;8;75.6;85;3.3;2.8;3.92
TAD;N;4;Principiante;2;B;6;55.2;87;2.3;2.4;3.12
TAE;D;7;Principiante;1;B;6;59.8;86;2.6;2.6;3.9
TAD;D;3;Intermedio;4;B;6;64.8;92;2.9;2.4;4.08
TAE;N;4;Principiante;1;A;10;97.2;84;4;3.6;5.4
TAP;N;4;Principiante;1;I;8;75.6;87;3.3;2.8;4.48
TAC;N;4;Principiante;2;I;7;67.2;88;2.6;3.2;4.8
TAC;N;3;Intermedio;2;B;6;57.2;95;2.2;2.6;3.9
TAC;N;6;Intermedio;3;B;6;65;92;2;2.5;2.75
TAC;N;6;Intermedio;2;A;9;86.4;97;3.2;3.2;4.8
TAD;D;2;Intermedio;2;I;7;69;96;2.9;3;4.2
TAC;D;7;Principiante;2;I;7;67.6;85;2.6;2.6;3.9
TAP;N;4;Principiante;3;I;8;80;87;3.8;3.2;3.52
TAP;D;6;Intermedio;1;B;6;58.8;96;2.6;2.1;3.15
TAE;D;7;Intermedio;1;I;8;75.6;90;3.8;2.7;4.05
TAE;N;7;Intermedio;3;B;5;54.6;93;2.5;2.6;3.64
TAB;D;6;Principiante;2;I;7;72.5;84;3.6;2.9;3.19
TAB;N;7;Intermedio;3;B;6;57.5;91;2;2.5;2.75
TAB;D;6;Principiante;3;I;7;74.8;86;3.6;3.4;5.1
TAB;N;7;Principiante;3;B;6;59.4;86;2.6;2.7;3.78
TAP;N;3;Intermedio;1;I;8;78.2;89;3;3.4;4.76
TAP;N;7;Principiante;4;B;6;63.8;82;2.8;2.9;5.22
TAC;N;5;Intermedio;3;B;7;70.4;97;2.7;3.2;5.12
TAB;D;1;Intermedio;1;A;9;91.8;92;3.9;3.4;4.76
TAE;N;6;Intermedio;2;B;6;57.5;97;2.4;2.5;3.25
TAC;N;4;Intermedio;4;B;6;61.6;92;2.9;2.8;4.2
TAE;N;3;Experto;4;B;5;54.6;101;2.2;2.6;3.9
TAB;D;5;Intermedio;3;B;6;59.8;89;2;2.3;3.45
TAE;N;7;Experto;4;I;8;75.6;100;3.1;2.7;4.59
TAC;D;3;Principiante;3;B;5;54;85;2.1;2.7;2.97
TAC;N;5;Principiante;2;I;7;67.6;88;2.7;2.6;3.38
TAD;N;3;Intermedio;1;I;8;81.2;92;3.1;2.8;3.64
TAC;N;4;Principiante;4;B;6;60.9;85;2.3;2.9;4.35
TAC;N;7;Principiante;4;I;7;73.6;88;3;3.2;3.84
TAC;N;7;Principiante;4;I;8;78.4;88;3.2;2.8;4.48
TAC;D;1;Intermedio;3;I;7;74.4;90;3.6;3.1;3.41
TAC;D;2;Intermedio;1;I;8;81;91;4.1;3;3.3
TAP;N;5;Intermedio;3;B;6;63.8;96;2.7;2.9;3.48
TAC;D;3;Intermedio;1;B;6;55;89;2.1;2.5;3.75
TAC;N;4;Principiante;3;I;8;84;87;3.6;3;4.2
TAC;D;6;Principiante;4;B;6;64;84;3.2;3.2;4.8
TAB;N;7;Principiante;4;I;7;68;88;2.6;3.4;4.42
TAD;D;3;Intermedio;4;I;8;81;95;3.6;3;5.4
TAE;D;3;Intermedio;4;B;6;62.4;90;2.5;2.6;3.12
TAB;N;5;Intermedio;1;B;7;72.5;97;3.4;2.5;3.25
TAB;N;6;Intermedio;1;I;8;81.2;89;3.6;2.9;5.22
TAB;N;3;Intermedio;2;B;7;67.5;93;3.1;2.7;2.97
TAP;N;7;Principiante;1;B;6;62;84;2.8;3.1;3.41
TAD;D;7;Principiante;1;B;6;62.4;87;2.7;2.6;3.64
TAE;D;4;Principiante;3;B;6;62;80;2.6;3.1;4.96
TAB;N;5;Intermedio;2;B;5;52.5;96;2;2.5;3
TAC;D;5;Principiante;1;B;5;52;88;2.6;2.6;3.12
TAC;N;1;Principiante;2;B;5;50.4;86;2.2;2.4;4.32
TAP;N;5;Principiante;3;I;8;78.3;84;2.9;2.9;4.93
TAC;N;7;Principiante;1;I;7;72.8;82;3.4;2.8;3.36
TAD;D;4;Principiante;2;I;7;72.5;87;2.9;2.5;3.25
TAD;N;7;Principiante;3;I;7;71.3;83;2.8;3.1;4.65
TAE;N;2;Principiante;4;I;7;74;81;3.4;3.7;4.07
TAP;D;5;Intermedio;2;B;5;50;90;2.1;2.5;3.25
TAC;N;4;Intermedio;2;I;7;73.6;89;3.2;3.2;4.16
TAC;D;6;Principiante;4;I;7;67.5;83;2.9;2.7;4.86
TAP;D;4;Intermedio;2;I;8;84.1;94;2.8;2.9;4.06
TAC;N;5;Principiante;1;B;6;56.7;80;1.9;2.7;4.05
TAC;D;2;Principiante;4;I;7;72.8;88;2.8;2.6;3.9
TAC;D;3;Principiante;3;A;10;95.7;83;3.5;3.3;5.94
TAD;N;2;Principiante;2;B;5;54;88;2.2;2.7;4.86
TAB;D;2;Intermedio;1;B;6;57.2;92;2.5;2.6;4.42
TAD;N;7;Intermedio;3;A;9;92.4;97;4.2;3.3;3.96
TAP;N;2;Intermedio;2;I;9;86.8;91;3.5;3.1;3.72
TAE;D;2;Experto;3;I;8;78.4;102;3.8;2.8;4.76
TAE;N;4;Principiante;2;A;10;97.2;85;3.4;3.6;6.12
TAE;D;6;Principiante;1;B;5;52.5;87;2.4;2.5;4.5
TAD;D;1;Principiante;3;B;6;64.8;80;3.1;2.7;4.86
TAC;D;1;Intermedio;1;I;7;72.8;90;3.1;2.8;5.04
TAE;N;7;Intermedio;3;B;6;62.4;90;2.4;2.6;3.64
TAE;N;4;Principiante;3;B;5;48.3;86;2.6;2.3;2.99
TAE;N;3;Intermedio;3;B;7;67.2;92;3;3.2;5.12
TAB;N;1;Intermedio;4;B;6;56.7;95;2.4;2.7;3.51
TAE;N;2;Experto;4;B;6;60;99;2.2;2.4;3.6
TAD;N;3;Intermedio;3;B;6;56.7;90;1.7;2.7;4.32
TAP;N;6;Principiante;1;I;8;78.4;86;3;2.8;4.76
TAC;D;4;Intermedio;1;I;8;80;92;3.1;3.2;4.8
TAB;N;3;Principiante;4;I;7;70.2;80;3;2.6;3.38
TAB;N;4;Principiante;2;I;8;83.7;85;3.4;3.1;4.03
TAP;N;5;Principiante;2;B;6;61.6;88;2.8;2.8;4.2
TAD;D;5;Principiante;4;I;8;78.4;84;3.2;2.8;3.08
TAC;N;2;Intermedio;1;I;8;83.2;89;3;3.2;5.76
TAP;N;3;Principiante;1;B;6;65;88;2.9;2.6;3.64
TAE;D;1;Principiante;1;I;8;78.3;85;3.6;2.9;3.19
TAE;N;2;Intermedio;2;I;7;68.2;89;3.1;3.1;4.34
TAD;N;2;Experto;2;B;6;64.8;101;3;2.7;3.51
TAE;D;6;Principiante;4;I;8;75.6;85;3.1;2.8;5.04
TAC;N;6;Principiante;3;B;6;59.8;84;2.2;2.6;4.16
TAD;N;5;Intermedio;1;B;6;60;96;1.8;2.5;4.5
TAB;N;6;Intermedio;2;B;6;63.8;94;3;2.9;4.06
TAE;N;3;Intermedio;3;B;7;67.5;94;2.7;2.7;4.32
TAB;N;3;Principiante;1;B;5;50;82;1.8;2.5;4
TAP;D;1;Intermedio;2;I;9;86.4;94;3.7;3.2;4.48
TAC;D;6;Intermedio;4;B;5;50.4;95;2.3;2.4;3.36
TAC;N;1;Intermedio;4;B;6;60.9;93;3.1;2.9;3.19
TAE;D;7;Intermedio;3;B;6;55.2;92;2.4;2.4;2.64
TAP;D;2;Principiante;2;B;6;63.8;83;2.9;2.2;3.3
TAP;N;5;Principiante;3;A;9;87;86;3.6;3;3.3
TAE;N;5;Intermedio;3;I;8;78.3;98;3;2.7;4.05
TAC;D;2;Intermedio;2;I;8;82.5;96;3.3;3.3;4.95
TAB;N;3;Intermedio;3;I;8;80.6;93;3.4;3.1;4.65
TAB;D;3;Principiante;3;B;6;62.4;84;2.8;2.6;4.16
TAB;N;3;Intermedio;3;I;8;78.3;93;3;2.9;4.93
TAP;D;3;Intermedio;4;B;6;58;89;2.2;2.9;3.77
TAC;D;6;Intermedio;4;B;7;70;96;2.9;2.5;4.25
TAC;N;4;Principiante;2;B;6;59.8;79;2.3;2.6;3.64
TAC;N;2;Intermedio;1;B;7;72.9;91;3.2;2.7;4.05
TAC;D;3;Intermedio;2;I;7;70;89;3;2.5;2.75
TAP;D;4;Principiante;1;I;8;81.2;82;3.4;2.8;3.08
TAC;D;4;Intermedio;4;B;5;52.8;89;2;2.4;4.08
TAC;D;4;Intermedio;4;B;6;57.2;94;1.6;2.6;3.38
TAC;N;5;Principiante;2;B;6;64.4;87;2.7;2.3;3.68
TAC;D;5;Intermedio;3;B;6;60.9;93;2.5;2.9;4.35
TAE;D;4;Principiante;1;B;6;58.8;88;3.1;2.8;4.2
TAP;D;4;Intermedio;3;B;5;50;91;2.1;2.5;3
TAD;D;3;Intermedio;2;B;6;64.8;94;2.4;2.7;4.32
TAC;D;1;Principiante;3;I;7;72.9;84;3;2.7;3.78
TAP;N;4;Principiante;2;B;6;64.8;81;2.2;2.7;4.59
TAC;D;2;Intermedio;3;I;8;78.3;98;3.6;2.9;4.64
TAD;N;6;Principiante;1;B;6;65;74;3.1;2.6;4.68
TAC;D;2;Intermedio;3;B;7;73.6;95;3;3.2;4.16
TAC;N;4;Intermedio;2;I;8;80.6;90;3.1;3.1;5.27
TAC;D;7;Intermedio;1;B;7;74.4;91;3.1;3.1;4.03
TAB;D;6;Principiante;3;I;8;79.2;84;2.9;3.3;4.62
TAC;D;5;Intermedio;2;B;7;66;97;2.9;3;4.8
TAE;D;2;Intermedio;1;I;7;72.5;89;3;2.5;3.5
TAB;D;4;Principiante;4;B;6;55;84;2;2.5;4
TAC;N;4;Principiante;3;B;6;64;88;3;3.2;4.16
TAB;N;6;Intermedio;2;B;7;66;91;2.4;3.3;4.62
TAB;N;5;Intermedio;4;B;7;70.2;92;2.3;2.7;3.24
TAP;N;6;Intermedio;1;B;6;62.4;94;2.6;2.6;3.12
TAD;N;6;Principiante;2;B;6;62.4;87;2.9;2.6;4.42
TAP;D;7;Intermedio;4;B;7;66;98;2.9;3;4.2
TAP;N;3;Intermedio;1;B;6;56;97;2.9;2.8;4.48
TAB;N;1;Principiante;3;I;7;69.6;86;2.7;2.9;3.48
TAC;D;3;Intermedio;2;B;6;58.8;93;2.2;2.8;5.04
TAE;N;5;Principiante;4;I;7;70.2;88;3.2;2.6;4.16
TAC;N;1;Intermedio;4;B;6;59.8;94;2.5;2.3;2.53
TAC;D;1;Intermedio;4;B;6;57.2;94;2.7;2.6;4.42
TAC;N;1;Intermedio;2;B;5;50.4;95;2.1;2.4;3.12
TAP;N;6;Principiante;4;I;8;80;87;3.1;3.2;5.44
TAC;N;1;Principiante;4;I;7;70;83;2.7;2.5;2.75
TAC;D;3;Intermedio;4;B;7;72.6;94;3.2;3.3;5.94
TAE;D;7;Intermedio;3;B;6;64.4;92;3;2.8;4.76
TAD;N;1;Intermedio;3;I;7;66.7;96;3.2;2.9;4.64
TAB;N;6;Intermedio;2;I;9;86.8;90;3.4;3.1;4.03
TAB;N;7;Intermedio;4;B;7;72.5;98;2.7;2.9;4.64
TAC;D;4;Intermedio;4;B;6;56;90;2.3;2.8;3.36
TAP;N;1;Principiante;2;I;7;68.2;87;2.8;3.1;3.72
TAE;N;2;Intermedio;3;B;7;70.2;92;3.2;2.7;3.24
TAB;D;4;Principiante;1;I;8;84;84;4.1;3;5.1
TAD;N;1;Intermedio;2;I;8;81.2;95;3.9;2.9;4.06
TAP;D;1;Intermedio;3;B;7;72.5;95;3.2;2.9;5.22
TAE;D;1;Intermedio;2;B;5;50;94;2;2.5;3.5
TAB;D;6;Intermedio;3;I;8;81;91;3.3;3;5.4
TAD;N;2;Intermedio;3;I;7;67.6;90;2.7;2.6;3.64
TAC;D;4;Intermedio;2;B;6;64.8;96;2.7;2.7;3.78
TAB;D;5;Intermedio;2;B;7;66;91;2.6;3;3.9
TAB;D;1;Intermedio;4;B;7;69.3;96;2.8;3.3;3.96
TAC;N;2;Principiante;4;A;9;89.6;88;4.6;3.2;4.48
TAC;D;3;Intermedio;3;I;7;74.4;89;2.9;3.1;5.58
TAE;D;3;Intermedio;2;A;9;89.6;93;3.5;3.2;3.52
TAC;N;2;Intermedio;3;I;7;70.2;89;3.1;2.6;3.9
TAB;N;2;Intermedio;2;I;8;84.1;90;3.4;2.9;3.77
TAD;N;7;Principiante;1;I;7;67.2;84;2.6;2.4;3.6
TAC;D;3;Intermedio;1;B;7;67.2;95;2.6;2.4;4.32
TAC;N;7;Principiante;2;B;5;52;86;2.9;2.6;3.9
TAB;N;6;Intermedio;3;B;6;63.8;98;2.1;2.9;4.93
TAB;N;7;Intermedio;1;B;6;56;94;2.6;2.8;3.64
TAD;N;4;Intermedio;3;B;6;65;94;2.2;2.5;3.75
TAB;D;3;Intermedio;4;B;6;62;94;2.6;3.1;5.27
TAD;N;5;Intermedio;1;B;5;54;95;1.9;2.7;3.24
TAP;D;6;Principiante;2;B;5;54;88;2.4;2.7;4.05
TAE;N;5;Intermedio;3;B;6;60.9;90;2.2;2.9;4.93
TAB;D;7;Intermedio;2;I;8;75.6;93;3.3;2.8;5.04
TAC;D;3;Principiante;4;I;7;71.3;87;3.7;3.1;4.03
TAE;N;2;Principiante;4;B;5;52.5;85;2.7;2.5;4.5
TAD;D;3;Principiante;1;B;6;65;85;2.5;2.5;4.5
TAB;D;4;Principiante;1;I;8;84;88;3.1;3;4.5
TAD;D;4;Principiante;1;I;7;72;84;3.3;3;5.1
TAB;N;4;Principiante;4;I;7;73.6;84;3;3.2;4.16
TAD;D;2;Intermedio;2;B;6;59.4;90;2.9;2.2;3.08
TAP;D;6;Intermedio;2;I;8;83.7;94;3.3;3.1;5.27
TAB;D;5;Intermedio;4;I;8;78;90;3.7;3;5.1
TAD;N;3;Intermedio;3;A;9;88.4;96;3.8;3.4;4.42
TAB;N;5;Principiante;2;A;9;92.8;83;3.7;3.2;3.52
TAE;N;4;Intermedio;2;I;8;78.4;95;3.5;2.8;3.36
TAB;N;3;Principiante;2;A;9;87;82;3.4;3;3.9
TAB;D;5;Intermedio;3;I;7;72.8;90;2.9;2.8;4.48
TAC;D;2;Intermedio;1;I;8;81;95;3.5;3;3.3
TAP;N;3;Intermedio;3;B;7;72.5;96;2.7;2.9;4.64
TAC;N;7;Intermedio;4;I;8;80.6;93;3.5;3.1;3.41
TAC;N;1;Intermedio;4;A;10;98.6;89;3.7;3.4;4.42
TAC;D;2;Principiante;4;I;7;72.5;85;3.2;2.5;3.75
TAD;N;1;Experto;3;I;8;84;99;3.5;3;5.1
TAP;D;6;Intermedio;3;I;8;83.2;89;3.7;3.2;5.44
TAC;D;1;Intermedio;1;B;7;69.3;93;2.8;3.3;3.63
TAD;N;6;Principiante;4;I;8;84;88;3.8;3;3.6
TAE;D;6;Principiante;2;I;7;72;88;2.9;3;3.6
TAE;D;7;Intermedio;2;I;8;78.3;89;3;2.7;4.86
TAB;N;4;Principiante;2;B;6;58;88;2.4;2.9;5.22
TAD;N;5;Principiante;2;I;8;84;88;3.5;3;5.4
TAD;N;2;Principiante;3;B;5;52;87;2.4;2.6;4.42
TAD;N;7;Experto;1;B;7;73.6;99;3.3;3.2;4.16
TAP;N;1;Principiante;2;I;8;78.4;84;3.2;2.8;4.2
TAP;N;2;Intermedio;1;B;6;55.2;94;2.1;2.3;3.68
